bdb,strongs,LemmaGuess
BDB1,H0000,א
BDB3,H0003,אֵב
BDB4,H0024,אָבִיב
BDB5,H0005,אֲבַגְתָא
BDB6,H0006,אָבַד
BDB6,H0008,אָבַד
BDB7,H0008,אֹבֵד
BDB8,H0009,אֲבֵדָה
BDB9,H0010,אֲבַדֹּה
BDB10,H0012,אַבְדָ֑ן
BDB10,H0013,אַבְדָ֑ן
BDB11,H0011,אֲבַדּוֺן
BDB11,H0010,אֲבַדּוֺן
BDB12,H0014,אָבָה
BDB13,H0034,אֶבְיוֺן
BDB14,H0035,אֲבִיּוֺנָה
BDB15,H0016,אֵ֫בֶה
BDB17,H0001,אָב
BDB18,H0045,אֲבִיעַֿלְבוֺן
BDB19,H0022,אֲבִיאֵל
BDB20,H0023,אֲבִיאָסָף
BDB20,H0043,אֲבִיאָסָף
BDB21,H0026,אֲבִיגַ֫יִל
BDB22,H0027,אֲבִידָן
BDB23,H0028,אֲבִידָע
BDB24,H0029,אֲבִיָּ֫הוּ
BDB24,H0038,אֲבִיָּ֫הוּ
BDB24,H0021,אֲבִיָּ֫הוּ
BDB25,H0030,אֲבִיהוּא
BDB26,H0031,אֲבִיהוּד
BDB27,H0032,אֲבִיחַ֫יִל
BDB28,H0036,אֲבִיטוּב
BDB29,H0037,אֲבִיטָ֑ל
BDB30,H0039,אֲבִימָאֵל
BDB31,H0040,אֲבִימֶ֫לֶךְ
BDB32,H0041,אֲבִינָדָב
BDB33,H0042,אֲבִי֫נֹ֫עַם
BDB34,H0074,אֲבִינֵר
BDB35,H0044,אֲבִיעֶ֫זֶר
BDB35,H0372,אֲבִיעֶ֫זֶר
BDB36,H0033,אֲבִי הָעֶזְרִי
BDB36,H0373,אֲבִי הָעֶזְרִי
BDB37,H0048,אֲבִירָם
BDB38,H0087,אַבְרָם
BDB38,H0085,אַבְרָם
BDB39,H0049,אֲבִישַׁג
BDB40,H0050,אֲבִישׁוּעַ
BDB41,H0051,אֲבִישׁוּר
BDB42,H0052,אֲבִישַׁי
BDB43,H0053,אֲבִישָׁלוֺם
BDB44,H0054,אֶבְיָתָר
BDB45,H0026,אבוגיל
BDB46,H0017,אֲבוֺי
BDB48,H0019,אִבְחָה
BDB49,H0055,אָבַךְ
BDB50,H0056,אָבַל
BDB51,H0060,אֵ֫בֶל
BDB52,H0057,אָבֵל
BDB54,H0058,אָבֵל
BDB54,H0059,אָבֵל
BDB54,H0062,אָבֵל
BDB54,H0066,אָבֵל
BDB54,H0063,אָבֵל
BDB54,H0064,אָבֵל
BDB54,H0065,אָבֵל
BDB54,H0067,אָבֵל
BDB55,H0061,אֲבָל
BDB57,H0179,אוֺבִיל
BDB58,H0068,אֶ֫בֶן
BDB58,H0072,אֶ֫בֶן
BDB59,H0070,אֹבֶן
BDB60,H0071,אבנה
BDB61,H0075,אָבַס
BDB62,H0018,אֵבוּס
BDB63,H3965,מַאֲבוּס
BDB65,H0077,אֶ֫בֶץ
BDB66,H0078,אִבְצָן
BDB68,H0080,אָבָק
BDB69,H0081,אֲבָקָה
BDB70,H0079,אָבַק
BDB72,H0083,אֵ֫בֶר
BDB73,H0084,אֶבְרָה
BDB74,H0082,אָבַר
BDB75,H0046,אָבִיר
BDB76,H0047,אַבִּיר
BDB77,H0086,אַבְרֵךְ
BDB79,H0089,אָגֵא
BDB80,H0090,אֲגָג
BDB81,H0091,אֲגָגִי
BDB83,H0092,אֲגֻדָּה
BDB84,H0093,אֱגוֺז
BDB86,H0096,אֵ֫גֶל
BDB87,H0097,אֶגְלַ֫יִם
BDB89,H0098,אֲגַם
BDB90,H0099,אָגֵם
BDB91,H0100,אַגְמֹן
BDB93,H0101,אַגָּן
BDB95,H0102,אֲגַף
BDB96,H0103,אָגַר
BDB98,H0094,אָגוּר
BDB99,H0095,אֲגוֺרָה
BDB100,H0107,אִגֶּ֫רֶת
BDB101,H0109,אָדַב
BDB102,H0110,אַדְבְּאֵל
BDB104,H0112,אִדּוֺ
BDB105,H0111,אֲדַד
BDB106,H0118,אֲדַלְיָא
BDB108,H0120,אָדָם
BDB108,H0121,אָדָם
BDB109,H0127,אֲדָמָה
BDB109,H0128,אֲדָמָה
BDB110,H0126,אַדְמָה
BDB111,H0129,אֲדָמִי הַנֶּ֫קֶב
BDB111,H5346,אֲדָמִי הַנֶּ֫קֶב
BDB113,H0119,אָדֹם
BDB114,H0122,אָדֹם
BDB115,H0124,אֹ֫דֶם
BDB116,H0123,אֱדֹם
BDB117,H0123,אֱדוֺם
BDB118,H0130,אֲדֹמִי
BDB118,H0726,אֲדֹמִי
BDB119,H0125,אֲדַמְדָּם
BDB120,H0132,אַדְמוֺנִי
BDB121,H0131,אֲדֻמִּים
BDB122,H0133,אַדְמָתָא
BDB124,H0134,אֶ֫דֶן
BDB125,H0113,אָדוֺן
BDB125,H0136,אָדוֺן
BDB126,H0135,אַדָּן
BDB127,H0114,אַדּוֺן
BDB128,H0137,אֲדֹנִיבֶֿ֫זֶק
BDB129,H0139,אֲדֹנִיצֶֿ֫דֶק
BDB130,H0138,(אֲדֹיִּנָה) אֲדֹנִיָּ֫הוּ
BDB131,H0140,אֲדֹנִיקָם
BDB132,H0141,אֲדֹנִירָם
BDB133,H0151,אֲדֹרָם
BDB134,H0142,אָדַר
BDB135,H0145,אֶ֫דֶר
BDB136,H0115,אֲדֹורַ֫יִם
BDB137,H0146,אַדָּר
BDB138,H0117,אַדִּיר
BDB139,H0155,אַדֶּ֫רֶת
BDB140,H0143,אֲדָר
BDB141,H0152,אַדְרַמֶּ֫לֶךְ
BDB142,H0156,אדשׁ
