"lemma_id","grammar"
"H0001","N-proper-ms"
"H0011","Conj-w | N-msc"
"H0045",""
"H0064","N-proper-fs"
"H0066",""
"H0084","Conj-w | N-fpc | 3fs"
"H0111","N-proper-ms"
"H0122a","Adj-fs"
"H0122a","Conj-w | Adj-ms"
"H0122a","Adj-mp"
"H0122a","Adj-ms"
"H0122b","Art | Adj-ms"
"H0176a","Conj"
"H0176a"," Conj"
"H0176b","Conj"
"H0187","Prep-m | N-proper-fs"
"H0192",""
"H0193a","N-msc | 3mp"
"H0193b","N-mpc"
"H0215","V-Qal-Perf-3ms"
"H0217a","N-ms"
"H0217a","Prep-b, Art | N-ms"
"H0217a","Prep-b | N-msc"
"H0217b","Prep-b, Art | N-mp"
"H0218a","N-proper-ms"
"H0218b","Prep-m | N-proper-fs"
"H0218b","Prep-b | N-proper-fs"
"H0219a","N-fs"
"H0219a","Prep-k, Art | N-fs"
"H0219a","N-fp"
"H0219b","N-fp"
"H0223a","Conj-w | N-proper-ms"
"H0223a","N-proper-ms"
"H0223a","Prep-l | N-proper-ms"
"H0223b","N-proper-ms"
"H0227a","Adv"
"H0227a","Conj-w | Adv"
"H0227b","Conj-w, Prep-m | Adv"
"H0227b","Adv"
"H0227b","Prep | Adv"
"H0227b","Prep-m | Adv"
"H0239","Conj-w | V-Piel-ConjPerf-3ms"
"H0242",""
"H0244a","Prep-l | N-proper-ms"
"H0244b","Art | N-proper-ms"
"H0259",""
"H0310a","Conj-w | Prep"
"H0310a","Prep-m | 3fs"
"H0310a","Prep | 1cs"
"H0310a","Prep-b | N-mpc"
"H0310a","N-mpc"
"H0310a","Conj-w | Prep | 3fs"
"H0310a","Prep-m | 2mp"
"H0310a","Conj-w | Adv | 3ms"
"H0310a","Prep | 3mp"
"H0310a","Prep-m | 2fs"
"H0310a","Conj-w | Prep | 3ms"
"H0310a","Prep-m | 1cs"
"H0310a","Prep | 2ms"
"H0310a","Prep-m"
"H0310a","Prep-m | 3mp"
"H0310a","Conj-w, Prep-m | 1cs"
"H0310a","Prep-m | 3ms"
"H0310a","Prep | 3ms"
"H0310a","Prep | 1cp"
"H0310a","Prep | 2fs"
"H0310a","Conj-w | Prep | 2ms"
"H0310a","Prep | 2mp"
"H0310a","Conj-w | Prep | 1cs"
"H0310a","Prep"
"H0310a","Prep | 3fp"
"H0310a","Conj-w | Adv"
"H0310a","N-ms"
"H0310a","Prep-m | 2ms"
"H0310a","Adv"
"H0310a","Conj-w | Prep | 2fs"
"H0310a","Prep-m | N-mpc | 3ms"
"H0310a","Conj-w | Prep | 3mp"
"H0310a","Prep | 3fs"
"H0310b","N-ms"
"H0328a","Art | N-mp"
"H0328b","Prep-l | Adv | 1cs"
"H0328b","Adv"
"H0328b","Prep-l | Adv"
"H0340","Conj-w | V-Qal-ConjPerf-1cs"
"H0349a","Interjection"
"H0349a","Conj-w | Interjection"
"H0349b","Interjection"
"H0349c","Conj-w | Interjection"
"H0349c","Interjection"
"H0352a","Prep-l, Art | N-mp"
"H0352a","Prep-b, Art | N-ms"
"H0352a","Prep-m | N-msc"
"H0352a","Art | N-ms"
"H0352a","Conj-w | N-mpc"
"H0352a","Prep-l, Art | N-ms"
"H0352a","Conj-w | N-ms"
"H0352a","Prep-b | N-msc"
"H0352a","N-ms"
"H0352a","Prep-k | N-mp"
"H0352a","Art | N-mp"
"H0352a","Conj-w | N-mp"
"H0352a","N-msc"
"H0352a","N-mp"
"H0352a","N-mpc"
"H0352b","N-msc"
"H0352b","Conj-w | N-mpc | 3ms"
"H0352b","Conj-w | N-msc | 3ms"
"H0352b","N-msc | 3ms"
"H0352b","Art | N-mp"
"H0352b","Art | N-ms"
"H0352b","N-mpc | 3ms"
"H0352b","Prep-b | N-mp"
"H0352b","N-mpc | 3mp"
"H0352b","N-mp"
"H0352b","N-ms"
"H0352b","Prep-l, Art | N-mp"
"H0352b","Conj-w | Prep | 3ms"
"H0352c","N-msc"
"H0352c","N-mpc"
"H0352d","Prep-m | N-mp"
"H0352d","N-mpc | 3mp"
"H0352d","N-mpc"
"H0356","N-ms"
"H0358",""
"H0359a","N-proper-fs"
"H0359a","Prep-m | N-proper-fs"
"H0359b","Prep-m | N-proper-fs"
"H0359b","N-proper-fs"
"H0376","N-mpc | 3fp"
"H0376","Conj-w, Prep-m | N-mpc"
"H0376","N-mpc | 1cp"
"H0378",""
"H0398",""
"H0398","V-Nifal-InfAbs"
"H0413",""
"H0434","Conj-w | N-ms"
"H0441a","N-mpc | 1cp"
"H0441a","N-mp"
"H0441a","N-msc"
"H0441a","Prep-b | N-ms"
"H0441a","N-msc | 1cs"
"H0441a","N-ms"
"H0441b","N-msc"
"H0441b","N-ms"
"H0441b","N-mpc | 3mp"
"H0441b","N-mpc"
"H0441b","Prep-l | N-mpc | 3mp"
"H0441b","Prep-k | N-ms"
"H0454a","N-proper-ms"
"H0454b","N-proper-ms"
"H0454b","Conj-w | N-proper-ms"
"H0516",""
"H0518a","V-Qal-Inf"
"H0518a","Conj-w | Conj"
"H0518a","Conj"
"H0518a","Pro-r"
"H0518b"," Conj"
"H0518b","Conj"
"H0520a","N-fd"
"H0520a","Conj-w | N-fd"
"H0520a","Prep-l | N-fp"
"H0520a","N-fsc"
"H0520a","Conj-w | N-fp"
"H0520a","Prep-b | N-fsc"
"H0520a","Prep-b, Art | N-fs"
"H0520a","Art | N-fs"
"H0520a","Conj-w, Prep-k | N-fd"
"H0520a","N-fs"
"H0520a","N-fpc"
"H0520a","N-fp"
"H0520a","Prep-b, Art | N-fp"
"H0520a","Conj-w | N-fs"
"H0520a","Conj-w, Art | N-fs"
"H0520b","N-fpc"
"H0565a","N-fsc | 2fs"
"H0565a","N-fp"
"H0565a","Conj-w, Prep-l | N-fsc"
"H0565a","N-fpc"
"H0565a","Prep-b | N-fsc | 2ms"
"H0565a","Prep-l | N-fsc | 2ms"
"H0565a","Prep-k | N-fsc | 2ms"
"H0565a","N-fsc | 3ms"
"H0565a","N-fsc | 2ms"
"H0565a","N-fsc"
"H0565a","N-fsc | 1cs"
"H0565b","N-fsc | 3ms"
"H0576a","Pro-1cs"
"H0576b","Pro-1cs"
"H0576b","Conj-w | Pro-1cs"
"H0581a","Pro-3mp"
"H0581b","Pro-3fp"
"H0607",""
"H0615",""
"H0634",""
"H0657a","Prep-m | Adv"
"H0657a","N-mpc"
"H0657a","Prep-b | N-msc"
"H0657a","Conj-w, Prep-k | N-ms"
