"id","new_id"
"0100100102","H1254a-006"
"0100100206","H5921a-006"
"0100100211","H7363b-001"
"0100100212","H5921a-006"
"0100100405","H3588a-005"
"0100100406","H2896a-003"
"0100100701","H6213a-010"
"0100100708","H0834a-003"
"0100100713","H0834a-003"
"0100100714","H5921a-010"
"0100100717","H3651c-006"
"0100100903","H6960b-001"
"0100100913","H3651c-006"
"0100101005","H4723c-001"
"0100101011","H3588a-005"
"0100101012","H2896a-003"
"0100101111","H6213a-137"
"0100101114","H0834a-003"
"0100101117","H5921a-006"
"0100101120","H3651c-006"
"0100101209","H6213a-137"
"0100101211","H0834a-003"
"0100101217","H3588a-005"
"0100101218","H2896a-003"
"0100101506","H5921a-006"
"0100101509","H3651c-006"
"0100101601","H6213a-010"
"0100101606","H1419a-019"
"0100101609","H1419a-015"
"0100101614","H6996b-001"
"0100101707","H5921a-006"
"0100101811","H3588a-005"
"0100101812","H2896a-003"
"0100102007","H2416a-007"
"0100102009","H5774a-011"
"0100102010","H5921a-006"
"0100102012","H5921a-006"
"0100102101","H1254a-028"
"0100102104","H8577b-005"
"0100102105","H1419a-019"
"0100102109","H2416a-012"
"0100102111","H0834a-003"
"0100102122","H3588a-005"
"0100102123","H2896a-003"
"0100102206","H7235a-071"
"0100102212","H7235a-026"
"0100102406","H2416a-007"
"0100102410","H2416c-005"
"0100102414","H3651c-006"
"0100102501","H6213a-010"
"0100102504","H2416c-022"
"0100102517","H3588a-005"
"0100102518","H2896a-003"
"0100102603","H6213a-140"
"0100102607","H7287a-014"
"0100102618","H5921a-006"
"0100102701","H1254a-028"
"0100102708","H1254a-006"
"0100102712","H1254a-006"
"0100102808","H7235a-071"
"0100102813","H7287a-006"
"0100102819","H2416a-004"
"0100102821","H5921a-006"
"0100102911","H0834a-003"
"0100102912","H5921a-006"
"0100102919","H0834a-003"
"0100103002","H2416c-022"
"0100103009","H5921a-006"
"0100103011","H0834a-003"
"0100103014","H2416a-007"
"0100103021","H3651c-006"
"0100103105","H0834a-003"
"0100103106","H6213a-125"
"0100103108","H2896a-003"
"0100200105","H6635a-016"
"0100200206","H0834a-003"
"0100200207","H6213a-125"
"0100200208","H7673a-022"
"0100200213","H0834a-003"
"0100200214","H6213a-125"
"0100200308","H3588a-005"
"0100200310","H7673a-018"
"0100200313","H0834a-003"
"0100200314","H1254a-006"
"0100200316","H6213a-068"
"0100200405","H1254a-004"
"0100200407","H6213a-130"
"0100200503","H7704b-007"
"0100200509","H7704b-007"
"0100200512","H3588a-005"
"0100200517","H5921a-006"
"0100200603","H4480a-010"
"0100200707","H4480a-010"
"0100200712","H2416e-003"
"0100200716","H2416a-007"
"0100200805","H5731b-003"
"0100200806","H6924a-001"
"0100200807","H7760a-096"
"0100200811","H0834a-003"
"0100200904","H4480a-010"
"0100200908","H2530a-001"
"0100200910","H2896a-012"
"0100200913","H2416e-016"
"0100200918","H2896b-003"
"0100200919","H7451b-010"
"0100201003","H5731b-004"
"0100201011","H7218a-035"
"0100201110","H0834a-003"
"0100201204","H2896a-003"
"0100201310","H3568a-002"
"0100201508","H5731b-002"
"0100201604","H5921a-006"
"0100201703","H2896b-003"
"0100201704","H7451b-010"
"0100201707","H4480a-006"
"0100201708","H3588a-005"
"0100201711","H4480a-006"
"0100201805","H2896a-003"
"0100201809","H6213a-139"
"0100201904","H4480a-010"
"0100201907","H2416c-022"
"0100201908","H7704b-007"
"0100201921","H0834a-003"
"0100201926","H2416a-007"
"0100202009","H2416c-022"
"0100202010","H7704b-007"
"0100202105","H5921a-006"
"0100202206","H0834a-003"
"0100202208","H4480a-010"
"0100202312","H3588a-005"
"0100202401","H5921a-006"
"0100202402","H3651c-006"
"0100202403","H5800a-083"
"0100300105","H2416c-022"
"0100300106","H7704b-007"
"0100300107","H0834a-003"
"0100300108","H6213a-125"
"0100300115","H3588a-005"
"0100300303","H0834a-003"
"0100300310","H4480a-006"
"0100300501","H3588a-005"
"0100300504","H3588a-005"
"0100300507","H4480a-006"
"0100300509","H5869a-015"
"0100300513","H2896b-003"
"0100300514","H7451b-010"
"0100300603","H3588a-005"
"0100300604","H2896a-003"
"0100300607","H3588a-001"
"0100300610","H5869a-064"
"0100300611","H2530a-009"
"0100300613","H7919a-019"
"0100300619","H0376-040"
"0100300620","H5973a-008"
"0100300702","H5869a-056"
"0100300705","H3588a-005"
"0100300711","H6213a-015"
"0100300713","H2290b-001"
"0100300803","H6963a-031"
"0100301003","H6963a-026"
"0100301007","H3588a-005"
"0100301105","H3588a-005"
"0100301107","H0859a-004"
"0100301108","H4480a-010"
"0100301110","H0834a-003"
"0100301114","H4480a-006"
"0100301204","H0834a-003"
"0100301210","H4480a-010"
"0100301307","H6213a-064"
"0100301406","H3588a-005"
"0100301407","H6213a-036"
"0100301410","H0859a-004"
"0100301414","H2416c-022"
"0100301415","H7704b-007"
"0100301416","H5921a-006"
"0100301418","H3212-066"
"0100301423","H2416e-013"
"0100301512","H7218a-045"
"0100301513","H0859a-005"
"0100301604","H7235a-025"
"0100301605","H7235a-022"
"0100301608","H6089a-003"
"0100301610","H1121a-079"
"0100301703","H3588a-005"
